NBT Bancorp Inc.
"TreeHouse Foods, Inc."
FutureFuel Corp.
"Genius Brands International, Inc."
IHS Markit Ltd.
"American Public Education, Inc."
"GLG Partners, Inc."
OptimizeRx Corporation
"Kids2, Inc."
Trillium Therapeutics Inc.
Travelcenters of America Inc.
"China Green Agriculture, Inc."
ASIX Electronics Corp
"Independence Contract Drilling, Inc."
"Ares Dynamic Credit Allocation Fund, Inc."
"Natural Grocers by Vitamin Cottage, Inc."
"U.S. Silica Holdings, Inc."
"Sprouts Farmers Market, Inc."
" Scienture Holdings, Inc."
"Sportman's Warehouse Holdings, Inc."
"Aytu BioPharma, Inc."
Vista Outdoor Inc.
Coupa Software Inc.
"Blue Apron Holdings, Inc."
"LiveOne, Inc."
"Ramaco Resources, Inc."
"BJ's Wholesale Club Holdings, Inc."
"Moderna, Inc."
"Vapotherm, Inc."
"Zscaler, Inc."
"Aprea Therapeutics, Inc."
"Chewy, Inc."
"Cortexyme, Inc."
GTY Technology Holdings Inc.
"Neoleukin Therapeutics, Inc."
"Peloton Interactive, Inc."
"Zoom Video Communications, Inc."
"BurgerFi International, Inc."
K-Electric Limited
MAI Construction Inc.
"Northeast Security Systems, Inc."
Tusk Therapeutics Ltd.
