company_name,ticker,cik
﻿NBT Bancorp Inc.,NBTB,0000790359
"TreeHouse Foods, Inc.",THS,0001320695
FutureFuel Corp.,FF,0001337298
"Genius Brands International, Inc.",GURE,0000885462
"American Public Education, Inc.",APEI,0001201792
"GLG Partners, Inc.",GURE,0000885462
OptimizeRx Corporation,OPRX,0001448431
"Kids2, Inc.",GURE,0000885462
"China Green Agriculture, Inc.",GURE,0000885462
"Independence Contract Drilling, Inc.",GURE,0000885462
"Ares Dynamic Credit Allocation Fund, Inc.",ARDC,0001515324
"Natural Grocers by Vitamin Cottage, Inc.",NGVC,0001547459
"U.S. Silica Holdings, Inc.",GURE,0000885462
"Sprouts Farmers Market, Inc.",SFM,0001575515
" Scienture Holdings, Inc.",SCNX,0001382574
"Sportman's Warehouse Holdings, Inc.",GURE,0000885462
"Aytu BioPharma, Inc.",AYTU,0001385818
"Blue Apron Holdings, Inc.",GURE,0000885462
"LiveOne, Inc.",LVO,0001491419
"Ramaco Resources, Inc.",METC,0001687187
"BJ's Wholesale Club Holdings, Inc.",BJ,0001531152
"Moderna, Inc.",MRNA,0001682852
"Vapotherm, Inc.",GURE,0000885462
"Zscaler, Inc.",ZS,0001713683
"Aprea Therapeutics, Inc.",APRE,0001781983
"Chewy, Inc.",CHWY,0001766502
"Cortexyme, Inc.",GURE,0000885462
"Neoleukin Therapeutics, Inc.",GURE,0000885462
"Peloton Interactive, Inc.",PTON,0001639825
"Northeast Security Systems, Inc.",GURE,0000885462
